10 commandments,Exod.20.1-Exod.20.26,13
10 commandments,Rom.13.8-Rom.13.10,7
666,Rev.13.18,131
666,Rev.13.1-Rev.13.18,30
666,Rev.13.16-Rev.13.18,26
666,Rev.14.1-Rev.14.20,5
666,2Chr.9.13,4
666,Ezra.6.1-Ezra.6.22,3
666,Rev.12.1-Rev.12.17,1
666,Rev.17.9,1
7 deadly sins,Matt.5.28,3
healthy marriage,Col.3.18,323
healthy marriage,1Cor.7.10-1Cor.7.11,310
healthy marriage,Heb.13.4,283
healthy marriage,Gen.3.16,245
healthy marriage,Eph.5.22-Eph.5.23,229
healthy marriage,Gen.2.24,191
healthy marriage,Luke.16.18,156
healthy marriage,1Cor.7.32-1Cor.7.34,126
healthy marriage,Exod.20.14,87
healthy marriage,Eph.5.21,80
healthy marriage,Rom.2.6-Rom.2.8,80
healthy marriage,Eph.5.31-Eph.5.32,73
healthy marriage,1Pet.3.1-1Pet.3.6,68
healthy marriage,Prov.31.10-Prov.31.31,58
healthy marriage,1Cor.7.3,51
healthy marriage,1Cor.13.1-1Cor.13.13,50
healthy marriage,2Thess.2.14-2Thess.2.15,35
healthy marriage,1Cor.11.1-1Cor.11.2,33
healthy marriage,John.20.19-John.20.23,32
healthy marriage,Acts.2.38-Acts.2.39,26
healthy marriage,Gen.2.18,16
healthy marriage,Eph.4.29,16
healthy marriage,Eph.5.28-Eph.5.32,13
healthy marriage,Phil.4.13,12
healthy marriage,Rom.12.2,12
healthy marriage,Eph.5.25,10
healthy marriage,Eph.5.1-Eph.5.33,9
healthy marriage,Eph.5.33,9
healthy marriage,Mal.2.16,8
healthy marriage,Rom.3.23,7
healthy marriage,John.13.34-John.13.35,6
healthy marriage,Gen.1.27,6
healthy marriage,Phil.4.8,5
healthy marriage,Matt.5.32,4
healthy marriage,Luke.1.37,4
healthy marriage,Mark.10.2-Mark.10.12,4
healthy marriage,Gen.9.1,3
healthy marriage,Phil.2.12-Phil.2.13,2
healthy marriage,Rom.1.26-Rom.1.29,2
healthy marriage,1Pet.5.7,2
healthy marriage,Eph.4.15,1
healthy marriage,1Cor.13.1-1Cor.13.6,1
healthy marriage,2Cor.11.2,1
husband,Eph.5.25-Eph.5.33,152
husband,1Cor.7.1-1Cor.7.7,63
husband,1Pet.3.1-1Pet.3.22,16
husband,1Cor.7.10-1Cor.7.11,10
man,Gen.1.27,79
man,Lev.18.22,37
man,Heb.13.4,17
man,Lev.20.13,15
man,Jude.1.7,11
man,Heb.10.26,9
man,Eph.5.25,7
man,1Tim.5.8,6
man,1Cor.6.9,4
man,Gen.2.24,4
man,Rev.14.12,2
man,Jas.2.10,2
man,Heb.4.12,1
man working,Prov.30.5-Prov.30.6,27
man working,1John.5.19,13
man working,1Tim.3.2,11
man working,2Kgs.2.23-2Kgs.2.24,6
mans character,Prov.6.16-Prov.6.19,180
mans character,1Cor.11.1-1Cor.11.2,56
mans character,Ps.1.1,55
mans character,1John.2.3-1John.2.4,34
mans character,Prov.8.14,18
mans character,2Thess.3.6,18
mans character,John.6.67-John.6.71,14
mans character,Rom.5.4,5
mans character,Ps.14.1-Ps.14.4,4
mans character,1Cor.7.10-1Cor.7.11,4
mans character,Isa.1.1-Isa.1.31,3
mans character,2Thess.2.14-2Thess.2.15,2
mans character,Matt.9.6-Matt.9.8,2
mans character,1Cor.11.27-1Cor.11.30,2
mans character,Prov.22.1,2
mans character,John.6.55-John.6.59,1
mans character,John.20.19-John.20.23,1
mans character,John.6.50-John.6.71,1
mans reputation,Jas.3.10-Jas.3.12,23
mans reputation,2Tim.3.3-2Tim.3.4,17
mans reputation,Prov.22.1,11
mans reputation,Eccl.7.1,8
mans reputation,Ps.27.1-Ps.27.14,7
mans reputation,1Pet.1.14,5
mans reputation,Eph.4.22,5
mans reputation,1Pet.2.12,5
mans reputation,Rom.5.4,4
new creation,2Cor.5.17,108
new creation,Eph.2.8-Eph.2.9,17
new creation,Rev.21.1-Rev.21.27,8
new creation,Acts.2.38-Acts.2.39,7
new creation,2Kgs.2.23-2Kgs.2.24,6
new creation,Rom.8.1,5
new creation,1Cor.5.7,5
new creation,1Pet.1.23,5
new creation,John.3.16,5
new creation,1John.1.9,5
new creation,Eph.2.10,5
new creation,2Cor.5.21,5
new creation,John.3.1-John.3.5,4
new creation,John.5.24,4
new creation,John.6.55-John.6.59,4
new creation,Rom.8.1-Rom.8.39,3
new creation,Phil.4.13,3
new creation,1Pet.3.18-1Pet.3.22,3
new creation,2Cor.5.1-2Cor.5.21,3
new creation,Eph.2.8,2
new creation,1Cor.6.9-1Cor.6.11,2
new creation,Ezek.36.24-Ezek.36.27,2
new creation,Prov.4.20,2
new creation,Matt.9.6-Matt.9.8,2
new creation,Rom.10.13,1
new creation,1John.4.4,1
new creation,Rom.6.1-Rom.6.23,1
new creation,John.6.67-John.6.71,1
tenth,Mal.3.8-Mal.3.9,257
tenth,Mal.3.10,25
tenth,Lev.27.30,17
tenth,2Cor.9.7,11
tenth,2Kgs.2.23-2Kgs.2.24,6
tenth,Heb.7.1-Heb.7.28,4
tenth,Mal.3.1-Mal.3.18,4
tenth,Gen.14.20,2
tenth,Acts.20.35,2
tenth,Luke.16.19-Luke.16.31,2
tenth,1Cor.11.31,2
time for love,Eccl.3.1-Eccl.3.8,100
time for love,1John.4.8,82
time for love,John.10.11,16
time for love,John.14.6,6
time for love,John.3.16,5
time for love,Eccl.3.14,5
time for love,Eccl.1.13,4
time for love,Eph.5.11,2
time for love,Jer.12.1-Jer.12.17,1
time for love,Luke.15.11-Luke.15.32,1
aaron,Rom.14.1-Rom.14.23,14
aaron,Heb.6.4-Heb.6.6,6
abandentment,Deut.31.6,34
abandentment,Ps.27.10,16
abandentment,Josh.1.9,11
abandentment,Heb.13.5-Heb.13.6,10
abandentment,John.3.16-John.3.17,7
abandoning friends,Prov.27.10,39
abandoning friends,1Cor.5.11,31
abandoning friends,2John.1.10-2John.1.11,20
abandoning friends,Prov.18.24,11
abandoning friends,Ps.55.12-Ps.55.14,3
abandoning friends,Matt.9.11-Matt.9.13,2
abandoning friends,Ps.27.10,2
abandonment,Ps.34.18,275
abandonment,Ps.27.10,157
abandonment,Deut.31.6,123
abandonment,Heb.13.5-Heb.13.6,42
abandonment,Josh.1.9,37
